radar_id,interval_start_time,altitude_band,avg_u_speed,avg_v_speed,avg_bird_density,vertical_integrated_density,number_of_measurements
6477,2013-04-05 09:00:00+00,1,0,0,0.00000,0.00000,14
6477,2013-04-05 09:00:00+00,2,0,0,0.00000,0.00000,12
6234,2013-04-05 09:20:00+00,1,-0.43105,-1.09471,1.58447,2.21826,28
6234,2013-04-05 09:20:00+00,2,0,0,0.00000,0.00000,48
6260,2013-04-05 09:20:00+00,1,-0.42019,-0.03043,1.06740,1.49436,28
6260,2013-04-05 09:20:00+00,2,0,0,0.00000,0.00000,43
6410,2013-04-05 09:20:00+00,1,0.03695,-0.04336,0.36017,0.50424,28
6410,2013-04-05 09:20:00+00,2,0,0,0.01523,0.03656,48
6451,2013-04-05 09:20:00+00,1,0,0,0.09914,0.13880,11
6451,2013-04-05 09:20:00+00,2,0,0,0.00000,0.00000,6
6477,2013-04-05 09:20:00+00,1,0,0,0.00000,0.00000,7
6477,2013-04-05 09:20:00+00,2,0,0,0.00944,0.02265,9
6234,2013-04-05 09:40:00+00,1,-0.85590,-1.97333,1.82343,2.55280,28
6234,2013-04-05 09:40:00+00,2,0,0,0.00000,0.00000,48
6260,2013-04-05 09:40:00+00,1,-0.03565,-0.25622,1.07946,1.51125,28
6260,2013-04-05 09:40:00+00,2,0,0,0.00000,0.00000,44
6410,2013-04-05 09:40:00+00,1,0.31377,-0.24884,0.41466,0.58052,28
6410,2013-04-05 09:40:00+00,2,0,0,0.01980,0.04751,48
6451,2013-04-05 09:40:00+00,1,0,0,0.24205,0.33887,3
6477,2013-04-05 09:40:00+00,1,0,0,0.00000,0.00000,7
6477,2013-04-05 09:40:00+00,2,0,0,0.00000,0.00000,9
6234,2013-04-05 10:00:00+00,1,-1.30240,-2.17363,1.99676,2.79546,28
6234,2013-04-05 10:00:00+00,2,0,0,0.00712,0.01709,48
6260,2013-04-05 10:00:00+00,1,-0.20316,-0.12103,0.91138,1.27593,28
6260,2013-04-05 10:00:00+00,2,0,0,0.00000,0.00000,44
6410,2013-04-05 10:00:00+00,1,0.08889,-0.20800,0.32306,0.45228,28
6410,2013-04-05 10:00:00+00,2,0,0,0.02176,0.05223,43
6451,2013-04-05 10:00:00+00,1,0,0,0.18681,0.26153,4
6477,2013-04-05 10:00:00+00,1,0,0,0.00000,0.00000,14
6477,2013-04-05 10:00:00+00,2,0,0,0.00000,0.00000,16
6234,2013-04-05 10:20:00+00,1,-1.20469,-2.50249,2.09126,2.92776,28
6234,2013-04-05 10:20:00+00,2,0,0,0.00000,0.00000,48
6260,2013-04-05 10:20:00+00,1,0.32454,-0.76220,0.95193,1.33270,28
6260,2013-04-05 10:20:00+00,2,0,0,0.00193,0.00463,45
6410,2013-04-05 10:20:00+00,1,0.13428,-0.17731,0.29867,0.41814,28
6410,2013-04-05 10:20:00+00,2,0,0,0.00708,0.01700,40
6451,2013-04-05 10:20:00+00,1,0,0,0.33557,0.46979,3
6477,2013-04-05 10:20:00+00,1,0,0,0.00000,0.00000,7
6477,2013-04-05 10:20:00+00,2,0,0,0.00000,0.00000,10
6234,2013-04-05 10:40:00+00,1,-0.87912,-2.43843,2.10349,2.94489,28
6234,2013-04-05 10:40:00+00,2,0,0,0.00000,0.00000,48
